Ticker,Segment,Volume
PETR4,"EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",39248207163
VALE3,MINERAIS METÁLICOS,36128830374
HAPV3,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,7394112260
MGLU3,ELETRODOMÉSTICOS,5219564213
B3SA3,SERVIÇOS FINANCEIROS DIVERSOS,10354248445
BBDC4,BANCOS,11709876363
ITUB4,BANCOS,14848193214
LREN3,"TECIDOS, VESTUÁRIO E CALÇADOS",5321478800
BBAS3,BANCOS,10348598464
ABEV3,CERVEJAS E REFRIGERANTES,6519029827
CIEL3,SERVIÇOS FINANCEIROS DIVERSOS,2964760493
VBBR3,"EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",4162915776
SOMA3,"TECIDOS, VESTUÁRIO E CALÇADOS",1876777181
PRIO3,"EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",9328277950
RENT3,ALUGUEL DE CARROS,8362899862
WEGE3,"MOTORES, COMPRESSORES E OUTROS",7285288611
BRFS3,CARNES E DERIVADOS,4856753500
SUZB3,PAPEL E CELULOSE,8488592252
ASAI3,ALIMENTOS,3054462808
RAIL3,TRANSPORTE FERROVIÁRIO,6203917398
MRVE3,EDIFICAÇÕES,2597576070
BPAC11,BANCOS,6258735268
GGBR4,SIDERURGIA,4164880117
ELET3,ENERGIA ELÉTRICA,4908093779
NTCO3,PRODUTOS DE USO PESSOAL,2661731010
ITSA4,OUTROS,3171959783
PETR3,"EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",10241253043
BHIA3,ELETRODOMÉSTICOS,874838707
RDOR3,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,4050916751
CPLE6,ENERGIA ELÉTRICA,2940193814
UGPA3,"EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",3187368198
EQTL3,ENERGIA ELÉTRICA,3794607620
CSAN3,"EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",2618804094
IGTI11,EXPLORAÇÃO DE IMÓVEIS,1468990801
JBSS3,CARNES E DERIVADOS,3315404394
VAMO3,ALUGUEL DE CARROS,1495291103
RAIZ4,"EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",1494328644
CYRE3,EDIFICAÇÕES,2079118855
RADL3,MEDICAMENTOS E OUTROS PRODUTOS,3630709904
CMIG4,ENERGIA ELÉTRICA,2298168096
YDUQ3,SERVIÇOS EDUCACIONAIS,1666576142
MULT3,EXPLORAÇÃO DE IMÓVEIS,1772767336
AZUL4,TRANSPORTE AÉREO,3645703710
COGN3,SERVIÇOS EDUCACIONAIS,1182788827
ENEV3,ENERGIA ELÉTRICA,1804253888
BEEF3,CARNES E DERIVADOS,1997429324
CRFB3,ALIMENTOS,1622443242
RRRP3,"EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",3620586258
TIMS3,TELECOMUNICAÇÕES,2431759819
TOTS3,PROGRAMAS E SERVIÇOS,2351797859
BBSE3,SEGURADORAS,2878463546
CCRO3,EXPLORAÇÃO DE RODOVIAS,2028563019
TRPL4,ENERGIA ELÉTRICA,2395413726
GOAU4,SIDERURGIA,2230062165
SBSP3,ÁGUA E SANEAMENTO,3672576555
EMBR3,MATERIAL AERONÁUTICO E DE DEFESA,2227399955
DXCO3,MADEIRA,962044605
HYPE3,MEDICAMENTOS E OUTROS PRODUTOS,2628994624
BRAP4,MINERAIS METÁLICOS,1901542700
MRFG3,CARNES E DERIVADOS,1317190187
KLBN11,PAPEL E CELULOSE,2179392981
USIM5,SIDERURGIA,1669837951
PETZ3,PRODUTOS DIVERSOS,917828526
CVCB3,VIAGENS E TURISMO,1404998067
CMIN3,MINERAIS METÁLICOS,1115467237
ENGI11,ENERGIA ELÉTRICA,2387843911
FLRY3,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,1064290025
CXSE3,SEGURADORAS,1052545635
RECV3,"EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",1213231877
VIVT3,TELECOMUNICAÇÕES,2583422966
GOLL4,TRANSPORTE AÉREO,2118376747
ALPA4,CALÇADOS,813284793
POMO4,MATERIAL RODOVIÁRIO,661631684
DIRR3,EDIFICAÇÕES,913090784
CSNA3,SIDERURGIA,1804061927
BRKM5,PETROQUÍMICOS,1433140029
SANB11,BANCOS,1614989311
LWSA3,PROGRAMAS E SERVIÇOS,875425377
STBP3,SERVIÇOS DE APOIO E ARMAZENAGEM,869615978
MOVI3,ALUGUEL DE CARROS,801503194
VIVA3,ACESSÓRIOS,1229199924
PCAR3,ALIMENTOS,685532489
ANIM3,SERVIÇOS EDUCACIONAIS,527745133
GMAT3,ALIMENTOS,682992605
TAEE11,ENERGIA ELÉTRICA,1520974579
HBSA3,TRANSPORTE HIDROVIÁRIO,804057388
EZTC3,EDIFICAÇÕES,733259197
CSMG3,ÁGUA E SANEAMENTO,928737650
BBDC3,BANCOS,1730271871
CURY3,INCORPORAÇÕES,626777530
SMFT3,ATIVIDADES ESPORTIVAS,842480392
LJQQ3,PRODUTOS DIVERSOS,399825324
TEND3,EDIFICAÇÕES,782642408
SIMH3,TRANSPORTE RODOVIÁRIO,641290239
CPLE3,ENERGIA ELÉTRICA,879450416
AURE3,ENERGIA ELÉTRICA,1217467468
CPFE3,ENERGIA ELÉTRICA,1144239063
ARZZ3,"TECIDOS, VESTUÁRIO E CALÇADOS",2356907140
NEOE3,ENERGIA ELÉTRICA,779839728
CBAV3,MINERAIS METÁLICOS,377312839
AESB3,ENERGIA ELÉTRICA,514669358
SBFG3,PRODUTOS DIVERSOS,356305807
INTB3,COMPUTADORES E EQUIPAMENTOS,647919345
ECOR3,EXPLORAÇÃO DE RODOVIAS,530182687
ALSO3,EXPLORAÇÃO DE IMÓVEIS,1070396583
BRSR6,BANCOS,508478183
SMTO3,AÇÚCAR E ÁLCOOL,1023517826
AMBP3,ÁGUA E SANEAMENTO,620331508
EGIE3,ENERGIA ELÉTRICA,1086839942
ONCO3,MEDICAMENTOS E OUTROS PRODUTOS,492389867
MLAS3,COMPUTADORES E EQUIPAMENTOS,176410758
TTEN3,AGRICULTURA,349127962
QUAL3,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,397209222
ELET6,ENERGIA ELÉTRICA,1108662836
IRBR3,SEGURADORAS,1506460266
PSSA3,SEGURADORAS,776123591
SAPR11,ÁGUA E SANEAMENTO,752985483
SLCE3,AGRICULTURA,1025694960
MYPK3,AUTOMÓVEIS E MOTOCICLETAS,365971078
CEAB3,"TECIDOS, VESTUÁRIO E CALÇADOS",436067944
ENAT3,"EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",521719304
LEVE3,AUTOMÓVEIS E MOTOCICLETAS,881483881
JHSF3,EDIFICAÇÕES,258196692
GGPS3,SERVIÇOS DIVERSOS,604276877
CASH3,PROGRAMAS E SERVIÇOS,387439577
RAPT4,MATERIAL RODOVIÁRIO,381238873
ODPV3,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,394736403
GFSA3,EDIFICAÇÕES,467543043
PLPL3,INCORPORAÇÕES,266223109
ZAMP3,RESTAURANTE E SIMILARES,330815895
KEPL3,MÁQ. E EQUIP. INDUSTRIAIS,244856531
GUAR3,"TECIDOS, VESTUÁRIO E CALÇADOS",213244794
MDIA3,ALIMENTOS DIVERSOS,650659591
BPAN4,BANCOS,319751937
CAML3,ALIMENTOS DIVERSOS,177442682
MEGA3,ENERGIA ELÉTRICA,184811715
MILS3,SERVIÇOS DIVERSOS,192665258
EVEN3,EDIFICAÇÕES,138617880
GRND3,CALÇADOS,199687013
AGRO3,AGRICULTURA,412961990
ALUP11,ENERGIA ELÉTRICA,389221649
POSI3,COMPUTADORES E EQUIPAMENTOS,180207733
ARML3,ALUGUEL DE CARROS,192780407
IFCM3,PROGRAMAS E SERVIÇOS,157110422
RANI3,PAPEL E CELULOSE,203415881
AURA33,MINERAIS METÁLICOS,32267970
ABCB4,BANCOS,221598151
BLAU3,MEDICAMENTOS E OUTROS PRODUTOS,203335215
AERI3,MÁQ. E EQUIP. INDUSTRIAIS,73870108
FRAS3,MATERIAL RODOVIÁRIO,164013156
TUPY3,MATERIAL RODOVIÁRIO,285204259
JALL3,AÇÚCAR E ÁLCOOL,129774717
VULC3,CALÇADOS,198999562
PTBL3,PRODUTOS PARA CONSTRUÇÃO,112366828
DASA3,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,108333435
MBLY3,PROGRAMAS E SERVIÇOS,122332590
AMER3,PRODUTOS DIVERSOS,137034425
OIBR3,TELECOMUNICAÇÕES,77897032
SEER3,SERVIÇOS EDUCACIONAIS,158720032
SAPR4,ÁGUA E SANEAMENTO,217330374
TRIS3,INCORPORAÇÕES,101413140
PGMN3,MEDICAMENTOS E OUTROS PRODUTOS,63081928
BMOB3,PROGRAMAS E SERVIÇOS,116500016
VLID3,SERVIÇOS DIVERSOS,133321320
LIGT3,ENERGIA ELÉTRICA,113937980
KLBN4,PAPEL E CELULOSE,151427877
MTRE3,INCORPORAÇÕES,82073591
TASA4,ARMAS E MUNIÇÕES,133232096
RCSL3,MATERIAL RODOVIÁRIO,82936401
ROMI3,MÁQ. E EQUIP. INDUSTRIAIS,100711743
LAVV3,INCORPORAÇÕES,81731886
MATD3,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,61176390
VVEO3,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,162547953
WIZC3,CORRETORAS DE SEGUROS,44203489
ORVR3,ÁGUA E SANEAMENTO,219042762
PNVL3,MEDICAMENTOS E OUTROS PRODUTOS,75900172
CLSA3,SERVIÇOS FINANCEIROS DIVERSOS,41744001
ESPA3,PRODUTOS DIVERSOS,39319278
CMIG3,ENERGIA ELÉTRICA,157520678
SQIA3,PROGRAMAS E SERVIÇOS,723061149
BRBI11,BANCOS,67946148
SEQL3,SERVIÇOS DIVERSOS,63367295
LOGG3,EXPLORAÇÃO DE IMÓVEIS,114876213
AZEV4,CONSTRUÇÃO PESADA,74953637
ITUB3,BANCOS,211002407
CPLE11,ENERGIA ELÉTRICA,328412745
MDNE3,INCORPORAÇÕES,77761030
JSLG3,TRANSPORTE RODOVIÁRIO,64529520
MEAL3,RESTAURANTE E SIMILARES,46548854
SHUL4,"MOTORES, COMPRESSORES E OUTROS",58253028
UNIP6,QUÍMICOS DIVERSOS,276250856
SGPS3,FIOS E TECIDOS,40999117
RCSL4,MATERIAL RODOVIÁRIO,48580208
SANB3,BANCOS,47510917
SANB4,BANCOS,57849434
VITT3,FERTILIZANTES E DEFENSIVOS,53628971
FESA4,SIDERURGIA,167768933
TAEE4,ENERGIA ELÉTRICA,58508724
OPCT3,EQUIPAMENTOS E SERVIÇOS,43481280
SOJA3,AGRICULTURA,102905843
BRIT3,TELECOMUNICAÇÕES,22864774
DESK3,TELECOMUNICAÇÕES,69077174
ETER3,PRODUTOS PARA CONSTRUÇÃO,48744465
HBOR3,EDIFICAÇÕES,24810432
TAEE3,ENERGIA ELÉTRICA,30270260
PORT3,SERVIÇOS DE APOIO E ARMAZENAGEM,72809900
KLBN3,PAPEL E CELULOSE,35605625
NINJ3,PROGRAMAS E SERVIÇOS,77739334
BMGB4,BANCOS,25957867
CSED3,SERVIÇOS EDUCACIONAIS,21499255
PRNR3,SERVIÇOS DIVERSOS,44866593
NGRD3,PROGRAMAS E SERVIÇOS,12862044
TGMA3,TRANSPORTE RODOVIÁRIO,82322711
USIM3,SIDERURGIA,25953467
SAPR3,ÁGUA E SANEAMENTO,27764968
LUPA3,EQUIPAMENTOS E SERVIÇOS,21210589
SYNE3,EXPLORAÇÃO DE IMÓVEIS,37725915
KRSA3,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,15556464
AZEV3,CONSTRUÇÃO PESADA,27335195
LOGN3,TRANSPORTE HIDROVIÁRIO,69766665
FIQE3,TELECOMUNICAÇÕES,13372054
ENJU3,PROGRAMAS E SERVIÇOS,10013714
ALPK3,SERVIÇOS DIVERSOS,14904140
MELK3,INCORPORAÇÕES,18331801
TRAD3,PROGRAMAS E SERVIÇOS,11894219
AALR3,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,18941573
ELMD3,PUBLICIDADE E PROPAGANDA,27714646
CSUD3,SERVIÇOS DIVERSOS,22974033
TFCO4,VESTUÁRIO,31622574
ITSA3,OUTROS,36540365
BRAP3,MINERAIS METÁLICOS,33677077
PINE4,BANCOS,13985879
LPSB3,INTERMEDIAÇÃO IMOBILIÁRIA,5637686
GOAU3,SIDERURGIA,18239318
POMO3,MATERIAL RODOVIÁRIO,17853265
WEST3,PROGRAMAS E SERVIÇOS,7755107
PFRM3,MEDICAMENTOS E OUTROS PRODUTOS,11788201
GGBR3,SIDERURGIA,25630515
BRKM3,PETROQUÍMICOS,26229048
PDGR3,EDIFICAÇÕES,9341730
VIVR3,INCORPORAÇÕES,13220132
TECN3,ACESSÓRIOS,9337862
SHOW3,PRODUÇÃO DE EVENTOS E SHOWS,4912793
TCSA3,INCORPORAÇÕES,6309977
RNEW4,ENERGIA ELÉTRICA,3807855
DEXP3,PETROQUÍMICOS,11956467
RSID3,EDIFICAÇÕES,6274510
INEP3,MÁQ. E EQUIP. INDUSTRIAIS,4732958
PDTC3,SERVIÇOS FINANCEIROS DIVERSOS,2993156
CAMB3,CALÇADOS,12834198
OIBR4,TELECOMUNICAÇÕES,3369061
AGXY3,AGRICULTURA,3432102
APER3,CORRETORAS DE SEGUROS,36826725
RNEW3,ENERGIA ELÉTRICA,1669797
IGTI3,EXPLORAÇÃO DE IMÓVEIS,3970329
INEP4,MÁQ. E EQUIP. INDUSTRIAIS,2339742
TASA3,ARMAS E MUNIÇÕES,6438306
ALUP4,ENERGIA ELÉTRICA,3413339
DMVF3,MEDICAMENTOS E OUTROS PRODUTOS,3001804
UNIP3,QUÍMICOS DIVERSOS,17117680
ALUP3,ENERGIA ELÉTRICA,2669748
EUCA4,MADEIRA,4926080
COCE5,ENERGIA ELÉTRICA,20227544
ATMP3,SERVIÇOS DIVERSOS,3731183
PMAM3,ARTEFATOS DE COBRE,1563870
ALLD3,ELETRODOMÉSTICOS,3645052
BEES3,BANCOS,1892311
DOTZ3,PROGRAMAS DE FIDELIZAÇÃO,871842
BPAC3,BANCOS,2720714
VSTE3,"TECIDOS, VESTUÁRIO E CALÇADOS",2644452
BOBR4,PRODUTOS DE LIMPEZA,973866
CLSC4,ENERGIA ELÉTRICA,9123934
ENGI4,ENERGIA ELÉTRICA,2005924
RAPT3,MATERIAL RODOVIÁRIO,2579092
SCAR3,EXPLORAÇÃO DE IMÓVEIS,4579635
LVTC3,PROGRAMAS E SERVIÇOS,1504970
RDNI3,EDIFICAÇÕES,1116219
ENGI3,ENERGIA ELÉTRICA,2294123
RNEW11,ENERGIA ELÉTRICA,506832
FHER3,FERTILIZANTES E DEFENSIVOS,1342969
BAZA3,BANCOS,7151292
OSXB3,EQUIPAMENTOS E SERVIÇOS,1191975
UCAS3,MÓVEIS,1538326
ATOM3,OUTROS,446450
WHRL4,ELETRODOMÉSTICOS,1005187
TRPL3,ENERGIA ELÉTRICA,2235479
OFSA3,MEDICAMENTOS E OUTROS PRODUTOS,4662197
BEES4,BANCOS,716108
CGRA4,"TECIDOS, VESTUÁRIO E CALÇADOS",2585266
EALT4,MÁQ. E EQUIP. INDUSTRIAIS,923995
EMAE4,ENERGIA ELÉTRICA,3840403
ALPA3,CALÇADOS,887110
RPMG3,"EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",388685
CGRA3,"TECIDOS, VESTUÁRIO E CALÇADOS",2113674
MTSA4,MÁQ. E EQUIP. CONSTRUÇÃO E AGRÍCOLAS,3501976
CRPG5,QUÍMICOS DIVERSOS,2281661
BRPR3,EXPLORAÇÃO DE IMÓVEIS,8877325
REDE3,ENERGIA ELÉTRICA,213852
CRPG6,QUÍMICOS DIVERSOS,1234602
WHRL3,ELETRODOMÉSTICOS,182604
CGAS5,GÁS,2693905
NEXP3,INTERMEDIAÇÃO IMOBILIÁRIA,117181
EUCA3,MADEIRA,167289
CGAS3,GÁS,157480
CLSC3,ENERGIA ELÉTRICA,47489
IGTI4,EXPLORAÇÃO DE IMÓVEIS,9790
GSHP3,EXPLORAÇÃO DE IMÓVEIS,9379
BRSR5,BANCOS,5616
COCE3,ENERGIA ELÉTRICA,000
CRDE3,EDIFICAÇÕES,000
ENBR3,ENERGIA ELÉTRICA,000
SLED3,PRODUTOS DIVERSOS,000
SLED4,PRODUTOS DIVERSOS,000
NUBR33,BANCOS,000
MODL3,BANCOS,000
